Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,
indigineous land,1,3,0.00%,66.67%,0:00:09,0,locational,locational,,locational,,,single
indigineous pipelines,1,1,0.00%,100.00%,0:00:02,0,locational,locational,,locational,,,single
Industrial land zoning,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
industrial zoning,1,1,0.00%,100.00%,0:00:05,0,locational,locational,,locational,,,single
industry area zoning,1,1,0.00%,100.00%,0:00:05,0,locational,locational,,locational,,,single
industry zoning,1,1,0.00%,100.00%,0:00:09,0,locational,locational,,locational,,,single
invasive trees,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
lakes,5,1.4,20.00%,57.14%,0:02:15,0.4,locational,locational,,locational,,,single
landslide,1,11,0.00%,0.00%,0:04:24,12,locational,locational,,locational,,,single
legistlative districts,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
libraries,1,2,0.00%,50.00%,0:00:41,1,locational,locational,,locational,,,single
library,2,1,0.00%,50.00%,0:02:35,2.5,locational,locational,,locational,,,single
Licensed Daycare Facilities,1,5,0.00%,20.00%,0:01:30,5,locational,locational,,locational,,,single
markets,1,1,0.00%,100.00%,0:00:08,0,locational,locational,,locational,,,single
mine,5,1.6,20.00%,50.00%,0:02:10,2.2,locational,locational,,locational,,,single
mountains,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
national park,1,1,0.00%,100.00%,0:18:57,2,locational,locational,,locational,,,single
National park,1,3,100.00%,0.00%,0:00:22,0,locational,locational,,locational,,,single
national parks,1,2,0.00%,50.00%,0:02:05,2,locational,locational,,locational,,,single
native land,1,2,0.00%,50.00%,0:00:14,1,locational,locational,,locational,,,single
open space,2,1,0.00%,50.00%,0:12:43,0.5,locational,locational,,locational,,,single
orchard,1,1,0.00%,100.00%,0:00:06,1,locational,locational,,locational,,,single
parcel,1,1,0.00%,0.00%,0:00:30,2,locational,topical,,locational,,,single
parcels,1,1,100.00%,0.00%,0:00:00,0,locational,topical,,locational,,,single
park,1,16,100.00%,0.00%,0:01:38,7,locational,locational,,locational,,,single
parks,4,2.5,25.00%,0.00%,0:00:23,1,locational,locational,,locational,,,single
peaks,1,1,0.00%,100.00%,0:00:15,0,locational,locational,,locational,,,single
places,1,1,0.00%,100.00%,0:00:03,0,locational,topical,,locational,,,single
Police Departments,1,2,0.00%,50.00%,0:00:11,0,locational,locational,,locational,,,single
polluted area zoning,1,1,0.00%,100.00%,0:00:09,0,locational,locational,,locational,,,single
Precinct,1,3,0.00%,0.00%,0:00:43,4,locational,locational,,locational,,,single
precints,1,1,0.00%,100.00%,0:00:05,0,locational,locational,,locational,,,single
protected lands,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
public lands,1,4,100.00%,0.00%,0:00:12,0,locational,locational,,locational,,,single
raods,1,1,0.00%,100.00%,0:00:04,0,locational,locational,,locational,,,single
reservations,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
reservoirs,1,1,0.00%,0.00%,0:00:38,3,locational,locational,,locational,,,single
riparian,1,2,0.00%,50.00%,0:06:15,1,locational,locational,,locational,,,single
river,4,1,0.00%,75.00%,0:06:44,0.25,locational,locational,,locational,,,single
River,1,1,0.00%,100.00%,0:01:36,5,locational,locational,,locational,,,single
rivers,9,3.44,22.22%,29.03%,0:01:35,1.44,locational,locational,,locational,,,single
Rivers,1,2,0.00%,50.00%,0:00:44,2,locational,locational,,locational,,,single
road,2,2,0.00%,50.00%,0:08:34,2,locational,locational,,locational,,,single
Road,1,1,0.00%,0.00%,0:00:05,1,locational,locational,,locational,,,single
Roads,1,2,0.00%,50.00%,0:02:56,2,locational,locational,,locational,,,single
ROADS,1,1,0.00%,100.00%,0:00:07,0,locational,locational,,locational,,,single
schools,2,1.5,0.00%,33.33%,0:03:32,0.5,locational,locational,,locational,,,single
sinkholes,1,2,0.00%,50.00%,0:00:05,1,locational,locational,,locational,,,single
south,1,1,0.00%,100.00%,0:08:36,0,locational,locational,,locational,,,single
south facing,1,1,0.00%,100.00%,0:00:04,0,locational,locational,,locational,,,single
south slope,1,1,0.00%,100.00%,0:09:44,0,locational,locational,,locational,,,single
special trout water,1,1,0.00%,100.00%,0:00:02,0,locational,locational,,locational,,,single
Springs,1,2,100.00%,0.00%,0:00:10,0,locational,locational,,locational,,,single
state,1,3,100.00%,0.00%,0:00:19,0,locational,locational,,locational,,,single
Statewide Fire Department,1,2,0.00%,100.00%,0:00:06,0,locational,topical,,locational,,,single
Statewide Fire Departments,1,6,0.00%,33.33%,0:00:23,0,locational,topical,,locational,,,single
stream,5,1.8,0.00%,55.56%,0:00:35,1,locational,locational,,locational,,,single
stream watershed,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
streams,17,1.94,5.88%,45.45%,0:02:21,1.71,locational,locational,,locational,,,single
streams and rivers,1,1,0.00%,100.00%,0:00:06,0,locational,locational,,locational,,,single
street,2,1.5,50.00%,0.00%,0:00:17,1,locational,locational,,locational,,,single
summits,1,1,0.00%,100.00%,0:00:08,0,locational,locational,,locational,,,single
supermarkets,1,1,0.00%,100.00%,0:00:07,0,locational,locational,,locational,,,single
towns,2,4,0.00%,25.00%,0:02:59,2,locational,locational,,locational,,,single
towns that disappeard because of water,1,2,0.00%,100.00%,0:00:08,0,locational|topical,topical,,locational,topical,,combined
township,1,1,0.00%,0.00%,0:00:04,1,locational,locational,,locational,,,single
tract,1,2,0.00%,50.00%,0:06:56,4,locational,publication,,locational,,,single
tracts,3,2,0.00%,50.00%,0:03:09,1.67,locational,publication,,locational,,,single
trail,1,2,0.00%,50.00%,0:02:02,1,locational,locational,,locational,,,single
trailhead,1,2,0.00%,50.00%,0:00:28,1,locational,locational,,locational,,,single
trails,8,1.62,12.50%,15.38%,0:03:33,1.5,locational,locational,,locational,,,single
tunnel,3,1,0.00%,100.00%,0:00:49,0.67,locational,locational,,locational,,,single
tunnels,2,1.5,0.00%,66.67%,0:00:06,0,locational,locational,,locational,,,single
Tunnels,1,1,0.00%,100.00%,0:02:33,6,locational,locational,,locational,,,single
uranium mining,1,2,0.00%,50.00%,0:25:29,3,locational,locational,,locational,,,single
water and santiation districts,1,1,0.00%,100.00%,0:00:35,2,locational,locational,,locational,,,single
Water basin,1,2,0.00%,50.00%,0:00:06,1,locational,locational,,locational,,,single
water towns,1,2,0.00%,100.00%,0:00:29,2,locational,locational,,locational,,,single
watershed,8,1.25,25.00%,50.00%,0:00:12,0.38,locational,locational,,locational,,,single
watersheds,6,1.33,0.00%,50.00%,0:01:42,0.67,locational,locational,,locational,,,single
well,1,2,100.00%,0.00%,0:00:15,0,locational,locational,,locational,,,single
wells,3,1.33,66.67%,25.00%,0:00:07,1,locational,locational,,locational,,,single
wilderness,1,1,0.00%,100.00%,0:00:09,0,locational,locational,,locational,,,single
wildlife collisions,1,1,0.00%,100.00%,0:00:06,0,locational,locational,,locational,,,single
wildlife vehicle,1,2,0.00%,0.00%,0:02:15,2,locational,topical,,locational,,,single
zip,1,1,0.00%,100.00%,0:00:05,0,locational,locational,,locational,,,single
zip code,1,1,0.00%,100.00%,0:00:58,1,locational,locational,,locational,,,single
zip codes,2,1,0.00%,100.00%,0:00:33,0,locational,locational,,locational,,,single
zoning,1,4,0.00%,50.00%,0:02:07,2,locational,locational,,locational,,,single
Blm,1,3,0.00%,33.33%,0:00:58,1,organization,organization,,organization,,,single
cdot,1,2,0.00%,50.00%,0:00:22,1,organization,organization,,organization,,,single
CDOT,1,2,0.00%,0.00%,0:00:06,1,organization,organization,,organization,,,single
