,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,Unnamed: 13,lowTerms,tkTerms,stems
199,boulder buildings,1,1.0,0.00%,0.00%,0:00:02,1.0,placename,placename,,placename,,,single,boulder buildings,"['boulder', 'buildings']","['boulder', 'build']"
200,boulder campus,1,1.0,0.00%,100.00%,0:00:09,1.0,placename,placename,,placename,,,single,boulder campus,"['boulder', 'campus']","['boulder', 'campu']"
201,boulder contour,1,1.0,0.00%,100.00%,0:29:38,0.0,placename|datatype,placename|datatype,,placename,datatype,,combined,boulder contour,"['boulder', 'contour']","['boulder', 'contour']"
202,Boulder county,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,boulder county,"['boulder', 'county']","['boulder', 'counti']"
203,Boulder County,1,3.0,100.00%,0.00%,0:06:22,1.0,placename,placename,,placename,,,single,boulder county,"['boulder', 'county']","['boulder', 'counti']"
204,Boulder county buildings,1,2.0,0.00%,50.00%,0:00:43,1.0,placename|locational,placename,,placename,locational,,combined,boulder county buildings,"['boulder', 'county', 'buildings']","['boulder', 'counti', 'build']"
205,Boulder County geolgy,1,1.0,0.00%,100.00%,0:00:06,0.0,placename|topical,placename|topical,,placename,topical,,combined,boulder county geolgy,"['boulder', 'county', 'geolgy']","['boulder', 'counti', 'geolgi']"
206,Boulder County geology,1,1.0,0.00%,100.00%,0:00:06,0.0,placename|topical,placename|topical,,placename,topical,,combined,boulder county geology,"['boulder', 'county', 'geology']","['boulder', 'counti', 'geolog']"
207,boulder creek,2,1.5,0.00%,100.00%,0:00:09,0.0,placename,placename,,placename,,,single,boulder creek,"['boulder', 'creek']","['boulder', 'creek']"
208,BOULDER CREEK,1,2.0,0.00%,50.00%,0:00:19,1.0,placename,placename,,placename,,,single,boulder creek,"['boulder', 'creek']","['boulder', 'creek']"
209,Boulder Creeks,1,1.0,0.00%,100.00%,0:00:09,0.0,placename|locational,placename,,placename,locational,,combined,boulder creeks,"['boulder', 'creeks']","['boulder', 'creek']"
210,BOULDER FIRE STATIONS,1,1.0,0.00%,0.00%,0:00:05,1.0,placename|locational,placename|locational,,placename,locational,,combined,boulder fire stations,"['boulder', 'fire', 'stations']","['boulder', 'fire', 'station']"
211,boulder forest,1,2.0,100.00%,0.00%,0:00:13,1.0,placename|locational,placename|locational,,placename,locational,,combined,boulder forest,"['boulder', 'forest']","['boulder', 'forest']"
212,Boulder land use,1,1.0,0.00%,100.00%,0:00:21,3.0,placename|topical,placename|topical,,placename,topical,,combined,boulder land use,"['boulder', 'land', 'use']","['boulder', 'land', 'use']"
213,boulder land-use,1,5.0,0.00%,20.00%,0:01:53,6.0,placename|topical,placename|topical,,placename,topical,,combined,boulder land-use,"['boulder', 'land-use']","['boulder', 'land-us']"
214,boulder lidar,1,1.0,0.00%,100.00%,0:00:03,0.0,placename|datatype,placename|topical,,placename,datatype,,combined,boulder lidar,"['boulder', 'lidar']","['boulder', 'lidar']"
215,boulder roads,2,1.0,0.00%,50.00%,0:03:17,1.0,placename|locational,placename|locational,,placename,locational,,combined,boulder roads,"['boulder', 'roads']","['boulder', 'road']"
216,boulder rock formation,1,1.0,0.00%,100.00%,0:00:08,0.0,placename|topical,placename|topical,,placename,topical,,combined,boulder rock formation,"['boulder', 'rock', 'formation']","['boulder', 'rock', 'format']"
217,Boulder streams,1,2.0,0.00%,50.00%,0:00:54,1.0,placename|locational,placename|locational,,placename,locational,,combined,boulder streams,"['boulder', 'streams']","['boulder', 'stream']"
218,boulder topography,1,3.0,0.00%,66.67%,0:00:13,1.0,placename|datatype,placename|locational,,placename,datatype,,combined,boulder topography,"['boulder', 'topography']","['boulder', 'topographi']"
219,"boulder, co",2,1.0,50.00%,50.00%,0:00:06,0.5,placename,placename,,placename,,,single,"boulder, co","['boulder', ',', 'co']","['boulder', ',', 'co']"
220,"Boulder, Colorado",1,5.0,0.00%,20.00%,0:09:58,2.0,placename,placename,,placename,,,single,"boulder, colorado","['boulder', ',', 'colorado']","['boulder', ',', 'colorado']"
221,buildings in boulder,1,1.0,0.00%,0.00%,0:00:49,1.0,placename|locational,placename|locational,,placename,locational,,combined,buildings in boulder,"['buildings', 'in', 'boulder']","['build', 'in', 'boulder']"
222,Chernobyl,1,1.0,0.00%,0.00%,0:51:22,19.0,placename,placename,,placename,,,single,chernobyl,['chernobyl'],['chernobyl']
223,china,3,1.67,0.00%,40.00%,0:01:06,2.67,placename,placename,,placename,,,single,china,['china'],['china']
224,coal creek,1,1.0,0.00%,100.00%,0:00:08,0.0,placename,placename,,placename,,,single,coal creek,"['coal', 'creek']","['coal', 'creek']"
225,colorado,17,5.71,35.29%,1.03%,0:06:33,2.29,placename,placename,,placename,,,single,colorado,['colorado'],['colorado']
226,Colorado,3,3.33,0.00%,0.00%,0:05:30,3.67,placename,placename,,placename,,,single,colorado,['colorado'],['colorado']
227,COLORADO,1,7.0,0.00%,0.00%,0:01:12,6.0,placename,placename,,placename,,,single,colorado,['colorado'],['colorado']
228,colorado cities,1,1.0,0.00%,0.00%,0:00:02,1.0,placename|locational,locational,,placename,locational,,combined,colorado cities,"['colorado', 'cities']","['colorado', 'citi']"
229,Colorado cities,1,2.0,0.00%,100.00%,0:01:09,3.0,placename|locational,locational,,placename,locational,,combined,colorado cities,"['colorado', 'cities']","['colorado', 'citi']"
230,colorado counties,3,1.67,0.00%,60.00%,0:01:02,1.0,placename|locational,locational,,placename,locational,,combined,colorado counties,"['colorado', 'counties']","['colorado', 'counti']"
231,colorado county,1,3.0,100.00%,0.00%,0:00:24,2.0,placename|locational,locational,,placename,locational,,combined,colorado county,"['colorado', 'county']","['colorado', 'counti']"
232,colorado dams,1,1.0,0.00%,100.00%,0:00:06,0.0,placename|locational,locational,,placename,locational,,combined,colorado dams,"['colorado', 'dams']","['colorado', 'dam']"
233,colorado geologic map,1,1.0,0.00%,0.00%,0:00:06,1.0,placename|datatype,datatype,,placename,datatype,,combined,colorado geologic map,"['colorado', 'geologic', 'map']","['colorado', 'geolog', 'map']"
234,Colorado Geology,2,1.0,0.00%,0.00%,0:00:05,1.0,placename|topical,placename|topical,,placename,topical,,combined,colorado geology,"['colorado', 'geology']","['colorado', 'geolog']"
235,colorado geology,1,1.0,0.00%,0.00%,0:00:03,1.0,placename|topical,placename|topical,,placename,topical,,combined,colorado geology,"['colorado', 'geology']","['colorado', 'geolog']"
236,colorado houses,1,2.0,0.00%,50.00%,0:01:30,3.0,placename|locational,locational,,placename,locational,,combined,colorado houses,"['colorado', 'houses']","['colorado', 'hous']"
237,Colorado Hwy 285,1,1.0,0.00%,100.00%,0:02:12,3.0,placename,placename,,placename,,,single,colorado hwy 285,"['colorado', 'hwy', '285']","['colorado', 'hwi', '285']"
238,Colorado land owndership,1,1.0,0.00%,100.00%,0:00:12,0.0,placename|topical,locational,,placename,topical,,combined,colorado land owndership,"['colorado', 'land', 'owndership']","['colorado', 'land', 'owndership']"
239,Colorado land types,1,3.0,0.00%,66.67%,0:09:08,2.0,placename|topical,topical,,placename,topical,,combined,colorado land types,"['colorado', 'land', 'types']","['colorado', 'land', 'type']"
240,Colorado land use type,1,1.0,0.00%,100.00%,0:00:13,0.0,placename|topical,topical,,placename,topical,,combined,colorado land use type,"['colorado', 'land', 'use', 'type']","['colorado', 'land', 'use', 'type']"
241,Colorado major cities,1,2.0,0.00%,100.00%,0:14:59,2.0,placename|locational,locational,,placename,locational,,combined,colorado major cities,"['colorado', 'major', 'cities']","['colorado', 'major', 'citi']"
242,colorado Mining Claims,1,1.0,0.00%,0.00%,0:04:01,2.0,placename|locational,locational,,placename,locational,,combined,colorado mining claims,"['colorado', 'mining', 'claims']","['colorado', 'mine', 'claim']"
243,colorado reservoir levels,1,2.0,0.00%,50.00%,0:00:19,1.0,placename|topical,topical,,placename,topical,,combined,colorado reservoir levels,"['colorado', 'reservoir', 'levels']","['colorado', 'reservoir', 'level']"
244,colorado reservoirs,1,1.0,0.00%,100.00%,0:00:15,0.0,placename|locational,locational,,placename,locational,,combined,colorado reservoirs,"['colorado', 'reservoirs']","['colorado', 'reservoir']"
245,Colorado river,2,2.5,0.00%,40.00%,0:01:06,3.0,placename,placename,,placename,,,single,colorado river,"['colorado', 'river']","['colorado', 'river']"
246,Colorado River basin,1,1.0,0.00%,100.00%,0:06:42,0.0,placename,placename,,placename,,,single,colorado river basin,"['colorado', 'river', 'basin']","['colorado', 'river', 'basin']"
247,Colorado River reservoirs,1,1.0,0.00%,100.00%,0:00:11,0.0,placename|locational,locational,,placename,locational,,combined,colorado river reservoirs,"['colorado', 'river', 'reservoirs']","['colorado', 'river', 'reservoir']"
248,Colorado River reservoirs levels,1,1.0,0.00%,100.00%,0:00:33,1.0,placename|topical,topical,,placename,topical,,combined,colorado river reservoirs levels,"['colorado', 'river', 'reservoirs', 'levels']","['colorado', 'river', 'reservoir', 'level']"
249,Colorado roads,1,2.0,0.00%,50.00%,0:01:50,5.0,placename|locational,locational,,placename,locational,,combined,colorado roads,"['colorado', 'roads']","['colorado', 'road']"
250,colorado satelite,1,2.0,0.00%,100.00%,0:00:11,0.0,placename|datatype,topical,,placename,datatype,,combined,colorado satelite,"['colorado', 'satelite']","['colorado', 'satelit']"
251,colorado satellite,1,1.0,0.00%,100.00%,0:00:09,0.0,placename|datatype,topical,,placename,datatype,,combined,colorado satellite,"['colorado', 'satellite']","['colorado', 'satellit']"
252,Colorado secondary roads,1,1.0,0.00%,100.00%,0:00:05,0.0,placename|locational,locational,,placename,locational,,combined,colorado secondary roads,"['colorado', 'secondary', 'roads']","['colorado', 'secondari', 'road']"
253,colorado springs,1,1.0,0.00%,100.00%,0:00:11,1.0,placename,placename,,placename,,,single,colorado springs,"['colorado', 'springs']","['colorado', 'spring']"
254,colorado state,1,2.0,0.00%,50.00%,0:02:50,2.0,placename,placename,,placename,,,single,colorado state,"['colorado', 'state']","['colorado', 'state']"
255,Colorado stream access,1,1.0,0.00%,100.00%,0:00:07,0.0,placename|locational,locational,,placename,locational,,combined,colorado stream access,"['colorado', 'stream', 'access']","['colorado', 'stream', 'access']"
256,Colorado streams,2,2.0,0.00%,25.00%,0:05:18,4.5,placename|locational,locational,,placename,locational,,combined,colorado streams,"['colorado', 'streams']","['colorado', 'stream']"
257,colorado streams,1,1.0,0.00%,100.00%,0:00:05,0.0,placename|locational,locational,,placename,locational,,combined,colorado streams,"['colorado', 'streams']","['colorado', 'stream']"
258,Colorado Streams,1,1.0,0.00%,0.00%,0:02:17,1.0,placename|locational,locational,,placename,locational,,combined,colorado streams,"['colorado', 'streams']","['colorado', 'stream']"
259,colorado trail,1,1.0,0.00%,0.00%,0:00:06,1.0,placename,placename,,placename,,,single,colorado trail,"['colorado', 'trail']","['colorado', 'trail']"
260,Colorado trail,1,1.0,0.00%,0.00%,0:00:34,1.0,placename,placename,,placename,,,single,colorado trail,"['colorado', 'trail']","['colorado', 'trail']"
261,colorado triassic,1,1.0,0.00%,100.00%,0:00:12,0.0,placename|topical,topical,,placename,topical,,combined,colorado triassic,"['colorado', 'triassic']","['colorado', 'triassic']"
262,colorado triassic age,1,1.0,0.00%,100.00%,0:00:05,0.0,placename|topical,topical,,placename,topical,,combined,colorado triassic age,"['colorado', 'triassic', 'age']","['colorado', 'triassic', 'age']"
263,colorado usa,1,1.0,0.00%,0.00%,0:00:04,2.0,placename,placename,,placename,,,single,colorado usa,"['colorado', 'usa']","['colorado', 'usa']"
264,colorado water,1,6.0,0.00%,0.00%,0:05:31,3.0,placename|locational,locational,,placename,locational,,combined,colorado water,"['colorado', 'water']","['colorado', 'water']"
265,Coloradocounties,1,1.0,0.00%,100.00%,0:00:05,0.0,placename|locational,locational,,placename,locational,,combined,coloradocounties,['coloradocounties'],['coloradocounti']
266,ColoradoWater basin,1,2.0,0.00%,100.00%,0:00:06,0.0,placename|locational,locational,,placename,locational,,combined,coloradowater basin,"['coloradowater', 'basin']","['coloradowat', 'basin']"
267,coloraod reservoirs,1,1.0,0.00%,100.00%,0:00:06,0.0,placename|locational,locational,,placename,locational,,combined,coloraod reservoirs,"['coloraod', 'reservoirs']","['coloraod', 'reservoir']"
268,Coloraod roads,1,1.0,0.00%,100.00%,0:00:08,0.0,placename|locational,locational,,placename,locational,,combined,coloraod roads,"['coloraod', 'roads']","['coloraod', 'road']"
269,colroado rocky mountains,1,2.0,0.00%,100.00%,0:01:24,6.0,placename,placename,,placename,,,single,colroado rocky mountains,"['colroado', 'rocky', 'mountains']","['colroado', 'rocki', 'mountain']"
270,Continental divide,1,2.0,0.00%,0.00%,0:03:04,9.0,placename,placename,,placename,,,single,continental divide,"['continental', 'divide']","['continent', 'divid']"
271,CU,1,1.0,0.00%,100.00%,0:06:18,7.0,placename,placename,,placename,,,single,cu,['cu'],['cu']
272,CU Boulder,1,1.0,0.00%,100.00%,0:00:05,0.0,placename,placename,,placename,,,single,cu boulder,"['cu', 'boulder']","['cu', 'boulder']"
273,denver,3,1.67,66.67%,40.00%,0:00:14,0.33,placename,placename,,placename,,,single,denver,['denver'],['denver']
274,Denver,2,1.5,50.00%,0.00%,0:01:36,3.0,placename,placename,,placename,,,single,denver,['denver'],['denver']
275,denver topogrpahy,1,1.0,100.00%,0.00%,0:00:00,0.0,placename|datatype,topical,,placename,datatype,,combined,denver topogrpahy,"['denver', 'topogrpahy']","['denver', 'topogrpahi']"
276,Elyria Swansea,1,1.0,0.00%,0.00%,0:01:00,3.0,placename,placename,,placename,,,single,elyria swansea,"['elyria', 'swansea']","['elyria', 'swansea']"
277,estes,1,1.0,0.00%,100.00%,0:00:34,0.0,placename,placename,,placename,,,single,estes,['estes'],['est']
278,fancy lake,1,1.0,0.00%,0.00%,0:00:17,2.0,placename,placename,,placename,,,single,fancy lake,"['fancy', 'lake']","['fanci', 'lake']"
279,florida,1,1.0,0.00%,100.00%,0:00:02,0.0,placename,placename,,placename,,,single,florida,['florida'],['florida']
280,Flying J Ranch,1,2.0,0.00%,50.00%,0:00:13,0.0,placename,placename,,placename,,,single,flying j ranch,"['flying', 'j', 'ranch']","['fli', 'j', 'ranch']"
281,"Flying J Ranch, Conifer",1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,"flying j ranch, conifer","['flying', 'j', 'ranch', ',', 'conifer']","['fli', 'j', 'ranch', ',', 'conif']"
282,Georgia,1,1.0,0.00%,0.00%,0:03:03,18.0,placename,placename,,placename,,,single,georgia,['georgia'],['georgia']
283,giplin county,1,2.0,100.00%,0.00%,0:00:05,0.0,placename,placename,,placename,,,single,giplin county,"['giplin', 'county']","['giplin', 'counti']"
284,glenwood springs,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,glenwood springs,"['glenwood', 'springs']","['glenwood', 'spring']"
285,golden,1,2.0,0.00%,50.00%,0:00:08,2.0,placename,placename,,placename,,,single,golden,['golden'],['golden']
286,Grand Canyon,1,1.0,0.00%,0.00%,0:00:11,1.0,placename,placename,,placename,,,single,grand canyon,"['grand', 'canyon']","['grand', 'canyon']"
287,grand county,1,1.0,0.00%,100.00%,0:00:05,0.0,placename,placename,,placename,,,single,grand county,"['grand', 'county']","['grand', 'counti']"
288,gunnison river basin,1,3.0,0.00%,0.00%,0:30:11,3.0,placename,placename,,placename,,,single,gunnison river basin,"['gunnison', 'river', 'basin']","['gunnison', 'river', 'basin']"
289,Haiti,1,2.0,100.00%,0.00%,0:00:03,0.0,placename,placename,,placename,,,single,haiti,['haiti'],['haiti']
290,Hamburg,1,1.0,0.00%,0.00%,0:13:42,17.0,placename,placename,,placename,,,single,hamburg,['hamburg'],['hamburg']
291,"Hamburg, Michigan",1,1.0,0.00%,100.00%,0:00:06,1.0,placename,placename,,placename,,,single,"hamburg, michigan","['hamburg', ',', 'michigan']","['hamburg', ',', 'michigan']"
292,hong kong,2,1.5,0.00%,66.67%,0:00:05,0.5,placename,placename,,placename,,,single,hong kong,"['hong', 'kong']","['hong', 'kong']"
293,Hwy 285 historical map,1,1.0,0.00%,100.00%,0:00:15,1.0,placename|format,placename,,placename,format,,combined,hwy 285 historical map,"['hwy', '285', 'historical', 'map']","['hwi', '285', 'histor', 'map']"
294,Hwy 285 map,1,1.0,0.00%,100.00%,0:00:15,1.0,placename|format,placename,,placename,format,,combined,hwy 285 map,"['hwy', '285', 'map']","['hwi', '285', 'map']"
295,iceland,1,1.0,0.00%,0.00%,0:00:09,1.0,placename,placename,,placename,,,single,iceland,['iceland'],['iceland']
296,iran,1,1.0,0.00%,100.00%,0:00:23,1.0,placename,placename,,placename,,,single,iran,['iran'],['iran']
297,jefferson county,1,2.0,0.00%,0.00%,0:00:41,3.0,placename,placename,,placename,,,single,jefferson county,"['jefferson', 'county']","['jefferson', 'counti']"
298,lake powell,1,1.0,0.00%,100.00%,0:00:08,1.0,placename,placename,,placename,,,single,lake powell,"['lake', 'powell']","['lake', 'powel']"
299,"lakewood, colorado",1,1.0,0.00%,100.00%,0:00:05,0.0,placename,placename,,placename,,,single,"lakewood, colorado","['lakewood', ',', 'colorado']","['lakewood', ',', 'colorado']"
300,land types of Colorado,1,1.0,0.00%,100.00%,0:00:44,0.0,placename|topical,topical,,placename,topical,,combined,land types of colorado,"['land', 'types', 'of', 'colorado']","['land', 'type', 'of', 'colorado']"
301,larimer county,2,1.0,0.00%,50.00%,0:01:32,4.0,placename,placename,,placename,,,single,larimer county,"['larimer', 'county']","['larim', 'counti']"
302,larimer county colorado,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,larimer county colorado,"['larimer', 'county', 'colorado']","['larim', 'counti', 'colorado']"
303,Las Vegas,1,1.0,0.00%,100.00%,0:00:06,0.0,placename,placename,,placename,,,single,las vegas,"['las', 'vegas']","['la', 'vega']"
304,"leadville, CO",1,1.0,0.00%,0.00%,0:00:16,2.0,placename,placename,,placename,,,single,"leadville, co","['leadville', ',', 'co']","['leadvil', ',', 'co']"
305,longmount,1,2.0,0.00%,50.00%,0:00:09,1.0,placename,placename,,placename,,,single,longmount,['longmount'],['longmount']
306,louisana,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,louisana,['louisana'],['louisana']
307,Loveland,1,1.0,0.00%,0.00%,0:00:02,1.0,placename,placename,,placename,,,single,loveland,['loveland'],['loveland']
308,Lubbock TX,1,1.0,0.00%,100.00%,0:00:20,1.0,placename,placename,,placename,,,single,lubbock tx,"['lubbock', 'tx']","['lubbock', 'tx']"
309,Mancos,1,1.0,0.00%,100.00%,0:00:37,1.0,placename,placename,,placename,,,single,mancos,['mancos'],['manco']
310,"Mancos, CO",1,1.0,0.00%,100.00%,0:00:16,1.0,placename,placename,,placename,,,single,"mancos, co","['mancos', ',', 'co']","['manco', ',', 'co']"
311,mars,1,1.0,0.00%,0.00%,0:02:05,12.0,placename,placename,,placename,,,single,mars,['mars'],['mar']
312,mcbroom ditch,1,1.0,0.00%,100.00%,0:00:10,1.0,placename,placename,,placename,,,single,mcbroom ditch,"['mcbroom', 'ditch']","['mcbroom', 'ditch']"
313,mesa colorado,1,1.0,0.00%,100.00%,0:00:12,1.0,placename,placename,,placename,,,single,mesa colorado,"['mesa', 'colorado']","['mesa', 'colorado']"
314,Mesa Verde,1,1.0,0.00%,0.00%,0:09:02,46.0,placename,placename,,placename,,,single,mesa verde,"['mesa', 'verde']","['mesa', 'verd']"
315,"mesa, co",1,1.0,0.00%,0.00%,0:02:31,7.0,placename,placename,,placename,,,single,"mesa, co","['mesa', ',', 'co']","['mesa', ',', 'co']"
316,mines colorado,1,1.0,0.00%,0.00%,0:00:05,1.0,placename|locational,locational,,placename,locational,,combined,mines colorado,"['mines', 'colorado']","['mine', 'colorado']"
317,monument co,1,2.0,0.00%,50.00%,0:00:17,2.0,placename,placename,,placename,,,single,monument co,"['monument', 'co']","['monument', 'co']"
318,mt. saint helens,1,1.0,0.00%,100.00%,0:00:14,1.0,placename,placename,,placename,,,single,mt. saint helens,"['mt', '.', 'saint', 'helens']","['mt', '.', 'saint', 'helen']"
319,nebraska streams,1,2.0,0.00%,0.00%,0:26:54,5.0,placename|locational,locational,,placename,locational,,combined,nebraska streams,"['nebraska', 'streams']","['nebraska', 'stream']"
320,nederland,1,1.0,0.00%,0.00%,0:01:27,4.0,placename,placename,,placename,,,single,nederland,['nederland'],['nederland']
321,nepal,2,1.0,50.00%,50.00%,0:00:12,2.5,placename,placename,,placename,,,single,nepal,['nepal'],['nepal']
322,nevada,1,1.0,0.00%,0.00%,0:00:09,1.0,placename,placename,,placename,,,single,nevada,['nevada'],['nevada']
323,odessa lake,1,1.0,0.00%,100.00%,0:01:07,3.0,placename,placename,,placename,,,single,odessa lake,"['odessa', 'lake']","['odessa', 'lake']"
324,oregon state,1,1.0,0.00%,100.00%,0:00:17,0.0,placename,placename,,placename,,,single,oregon state,"['oregon', 'state']","['oregon', 'state']"
325,ouarzazte,1,1.0,0.00%,0.00%,0:00:22,3.0,placename,,,placename,,,single,ouarzazte,['ouarzazte'],['ouarzazt']
326,pachitea,1,1.0,0.00%,0.00%,0:00:01,1.0,placename,,,placename,,,single,pachitea,['pachitea'],['pachitea']
327,PACIFIC OCEAN,1,2.0,0.00%,50.00%,0:00:27,3.0,placename,placename,,placename,,,single,pacific ocean,"['pacific', 'ocean']","['pacif', 'ocean']"
328,petersburg colorado,1,1.0,0.00%,100.00%,0:00:06,0.0,placename,placename,,placename,,,single,petersburg colorado,"['petersburg', 'colorado']","['petersburg', 'colorado']"
329,phoenix az,1,2.0,0.00%,50.00%,0:00:17,1.0,placename,placename,,placename,,,single,phoenix az,"['phoenix', 'az']","['phoenix', 'az']"
330,Pike San Isabel National Forest,1,1.0,0.00%,100.00%,0:00:02,0.0,placename,placename,,placename,,,single,pike san isabel national forest,"['pike', 'san', 'isabel', 'national', 'forest']","['pike', 'san', 'isabel', 'nation', 'forest']"
331,Pike San Isabell National Forest,1,1.0,0.00%,0.00%,0:39:29,43.0,placename,placename,,placename,,,single,pike san isabell national forest,"['pike', 'san', 'isabell', 'national', 'forest']","['pike', 'san', 'isabel', 'nation', 'forest']"
332,pitkin,1,4.0,100.00%,0.00%,0:02:51,2.0,placename,placename,,placename,,,single,pitkin,['pitkin'],['pitkin']
333,plutonium and new mexico,1,1.0,0.00%,0.00%,0:00:06,1.0,placename|topical,topical|placename,,placename,topical,,combined,plutonium and new mexico,"['plutonium', 'and', 'new', 'mexico']","['plutonium', 'and', 'new', 'mexico']"
334,Puget Sound,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,puget sound,"['puget', 'sound']","['puget', 'sound']"
335,Rio Grande Natural Area,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,rio grande natural area,"['rio', 'grande', 'natural', 'area']","['rio', 'grand', 'natur', 'area']"
336,Rmnp,1,1.0,0.00%,100.00%,0:00:08,1.0,placename,placename,,placename,,,single,rmnp,['rmnp'],['rmnp']
337,rocky mountain,1,1.0,0.00%,0.00%,0:06:31,20.0,placename,placename,,placename,,,single,rocky mountain,"['rocky', 'mountain']","['rocki', 'mountain']"
338,Rocky mountain,1,1.0,0.00%,100.00%,0:00:08,0.0,placename,placename,,placename,,,single,rocky mountain,"['rocky', 'mountain']","['rocki', 'mountain']"
339,Rocky Mountain National Park,1,1.0,0.00%,0.00%,0:04:15,22.0,placename,placename,,placename,,,single,rocky mountain national park,"['rocky', 'mountain', 'national', 'park']","['rocki', 'mountain', 'nation', 'park']"
340,Rocky mountains,1,2.0,0.00%,50.00%,0:00:09,1.0,placename,placename,,placename,,,single,rocky mountains,"['rocky', 'mountains']","['rocki', 'mountain']"
341,Rocky Point,1,1.0,0.00%,100.00%,0:00:06,0.0,placename,placename,,placename,,,single,rocky point,"['rocky', 'point']","['rocki', 'point']"
342,San Isabel National Forest,1,2.0,0.00%,50.00%,0:01:14,37.0,placename,placename,,placename,,,single,san isabel national forest,"['san', 'isabel', 'national', 'forest']","['san', 'isabel', 'nation', 'forest']"
343,san juan,1,2.0,0.00%,0.00%,0:01:02,5.0,placename,placename,,placename,,,single,san juan,"['san', 'juan']","['san', 'juan']"
344,san juan river,1,1.0,0.00%,0.00%,0:00:33,1.0,placename,placename,,placename,,,single,san juan river,"['san', 'juan', 'river']","['san', 'juan', 'river']"
345,sheridan colorado,2,1.0,0.00%,100.00%,0:00:10,0.0,placename,placename,,placename,,,single,sheridan colorado,"['sheridan', 'colorado']","['sheridan', 'colorado']"
346,sitka,1,1.0,0.00%,100.00%,0:00:07,0.0,placename,placename,,placename,,,single,sitka,['sitka'],['sitka']
347,skamania county,1,1.0,0.00%,100.00%,0:00:04,0.0,placename,placename,,placename,,,single,skamania county,"['skamania', 'county']","['skamania', 'counti']"
348,Sudan,1,1.0,0.00%,100.00%,0:01:52,12.0,placename,placename,,placename,,,single,sudan,['sudan'],['sudan']
349,taiwan,1,1.0,0.00%,0.00%,0:00:03,1.0,placename,placename,,placename,,,single,taiwan,['taiwan'],['taiwan']
350,texas,2,1.5,0.00%,0.00%,0:11:19,2.0,placename,placename,,placename,,,single,texas,['texas'],['texa']
351,triassic outcrops in colorado,1,1.0,0.00%,100.00%,0:00:31,0.0,placename|locational,topical,,placename,locational,,combined,triassic outcrops in colorado,"['triassic', 'outcrops', 'in', 'colorado']","['triassic', 'outcrop', 'in', 'colorado']"
352,University of Colorado Boulder Campus Map,1,1.0,0.00%,0.00%,0:00:04,1.0,placename|format,placename,,placename,format,,combined,university of colorado boulder campus map,"['university', 'of', 'colorado', 'boulder', 'campus', 'map']","['univers', 'of', 'colorado', 'boulder', 'campu', 'map']"
353,utah,1,1.0,0.00%,0.00%,0:00:16,2.0,placename,placename,,placename,,,single,utah,['utah'],['utah']
354,utah basemap,1,1.0,0.00%,100.00%,0:00:04,0.0,placename|datatype,placename,,placename,datatype,,combined,utah basemap,"['utah', 'basemap']","['utah', 'basemap']"
355,WA City shape border file,1,1.0,0.00%,0.00%,0:00:45,2.0,placename|datatype,placename|datatype,,placename,datatype,,combined,wa city shape border file,"['wa', 'city', 'shape', 'border', 'file']","['wa', 'citi', 'shape', 'border', 'file']"
356,WA City shape border file\,1,1.0,0.00%,100.00%,0:00:03,0.0,placename|datatype,placename|datatype,,placename,datatype,,combined,wa city shape border file\,"['wa', 'city', 'shape', 'border', 'file\\']","['wa', 'citi', 'shape', 'border', 'file\\']"
357,washington,2,2.5,50.00%,0.00%,0:00:45,1.5,placename,placename,,placename,,,single,washington,['washington'],['washington']
358,Washington State Water,1,1.0,0.00%,100.00%,0:00:04,0.0,placename|locational,locational,,placename,locational,,combined,washington state water,"['washington', 'state', 'water']","['washington', 'state', 'water']"
359,Washington State Waterway,1,1.0,0.00%,100.00%,0:00:03,0.0,placename|locational,locational,,placename,locational,,combined,washington state waterway,"['washington', 'state', 'waterway']","['washington', 'state', 'waterway']"
360,Washington State Waterways,1,1.0,0.00%,100.00%,0:00:04,0.0,placename|locational,locational,,placename,locational,,combined,washington state waterways,"['washington', 'state', 'waterways']","['washington', 'state', 'waterway']"
361,Washington Water,1,1.0,0.00%,100.00%,0:00:04,0.0,placename|locational,locational,,placename,locational,,combined,washington water,"['washington', 'water']","['washington', 'water']"
362,weld county colorado,1,1.0,0.00%,0.00%,0:00:02,1.0,placename,placename,,placename,,,single,weld county colorado,"['weld', 'county', 'colorado']","['weld', 'counti', 'colorado']"
363,wyoming,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,wyoming,['wyoming'],['wyom']
364,Yellowstone,3,1.0,0.00%,33.33%,0:02:32,15.0,placename,placename,,placename,,,single,yellowstone,['yellowstone'],['yellowston']
